on_user_audio	pytalk.AudioBlock	Called when a user transmits audio.
on_user_login	pytalk.user	Called when a user logs in to a server that the bot is on
on_user_logout	pytalk.User	Called when a user logs out from a server that the bot is on
on_user_update	pytalk.User	Called when a user gets updated
on_user_join	pytalk.User, pytalk.Channel	Called when a pytalk.User joins a pytalk.Channel
on_user_left	pytalk.User, pytalk.Channel	Called when a pytalk.User leaves a pytalk.Channel
